Pick Number,Team,Player,NBA Seasons
1,CLE,Anthony Bennett,4
2,ORL,Victor Oladipo,6
3,WAS,Otto Porter,6
4,CHA,Cody Zeller,6
5,PHO,Alex Len,6
6,NOH,Nerlens Noel,5
7,SAC,Ben McLemore,6
8,DET,Kentavious Caldwell-Pope,6
9,MIN,Trey Burke,6
10,POR,CJ McCollum,6
11,PHI,Michael Carter-Williams,6
12,OKC,Steven Adams,6
13,DAL,Kelly Olynyk,6
14,UTA,Shabazz Muhammad,5
15,MIL,Giannis Antetokounmpo,6
16,BOS,Lucas Nogueira,4
17,ATL,Dennis Schröder,6
18,ATL,Shane Larkin,4
19,CLE,Sergey Karasev,3
20,CHI,Tony Snell,6
21,UTA,Gorgui Dieng,6
22,BRK,Mason Plumlee,6
23,IND,Solomon Hill,6
24,NYK,Tim Hardaway,6
25,LAC,Reggie Bullock,6
26,MIN,Andre Roberson,5
27,DEN,Rudy Gobert,6
28,SAS,Livio Jean-Charles,
29,OKC,Archie Goodwin,4
30,PHO,Nemanja Nedović,1
31,CLE,Allen Crabbe,6
32,OKC,Álex Abrines,3
33,CLE,Carrick Felix,1
34,HOU,Isaiah Canaan,6
35,PHI,Glen Rice,2
36,SAC,Ray McCallum,3
37,DET,Tony Mitchell,1
38,WAS,Nate Wolters,3
39,POR,Jeff Withey,5
40,POR,Grant Jerrett,1
41,MEM,Jamaal Franklin,2
42,PHI,Pierre Jackson,1
43,MIL,Ricky Ledo,2
44,DAL,Mike Muscala,6
45,POR,Marko Todorović,
46,UTA,Erick Green,2
47,ATL,Raul Neto,4
48,LAL,Ryan Kelly,4
49,CHI,Erik Murphy,1
50,ATL,James Ennis,5
51,ORL,Romero Osby,
52,MIN,Lorenzo Brown,5
53,IND,Colton Iverson,
54,WAS,Arsalan Kazemi,
55,MEM,Joffrey Lauvergne,4
56,DET,Peyton Siva,1
57,PHO,Alex Oriakhi,
58,SAS,Deshaun Thomas,
59,MIN,Bojan Dubljević,
60,MEM,Jānis Timma,
